Synonyms,Glossary,Synset in hierarchy,,,,,,Label,Ori,Familiar,UnfamiliarANDunsure,Notes
gavel,a small mallet used by a presiding officer or a judge,,,,"[Synset('gavel.n.01')]],",,,l,,,,
maul sledge sledgehammer,a heavy long-handled hammer used to drive stakes or wedges,,,"[Synset('maul.n.01')],",,,,l,,,,
plexor plessor percussor,(medicine) a small hammer with a rubber head used in percussive examinations of the chest and in testing reflexes,,,"[Synset('plexor.n.01')],",,,,l,,,,
tack_hammer,a light hammer that is used to drive tacks,,,"[Synset('tack_hammer.n.01')]],",,,,l,,,,
hand_shovel,a shovel that is operated by hand,,"[Synset('hand_shovel.n.01'),",,,,,X,,,,
coal_shovel,a hand shovel for shoveling coal,,,"[Synset('coal_shovel.n.01')],",,,,X,,,,
entrenching_tool trenching_spade,a hand shovel carried by infantrymen for digging trenches,,,"[Synset('entrenching_tool.n.01')],",,,,X,,,,
spade,a sturdy hand shovel that can be pushed into the earth with the foot,,,"[Synset('spade.n.02'),",,,,X,,,,
ditch_spade long-handled_spade,a spade with a long handle for digging narrow ditches,,,,"[Synset('ditch_spade.n.01')],",,,X,,,,
garden_spade,a spade used by gardeners,,,,"[Synset('garden_spade.n.01')]],",,,X,,,,
spud stump_spud,a sharp hand shovel for digging out roots and weeds,,,"[Synset('spud.n.02')]],",,,,X,,,,
marlinespike marlinspike marlingspike,a pointed iron hand tool that is used to separate strands of a rope or cable (as in splicing),,"[Synset('marlinespike.n.01')],",,,,,b,,,,
miter_box mitre_box,hand tool for guiding handsaws in making crosscuts or miter joints,,"[Synset('miter_box.n.01')],",,,,,b,,,,
opener,a hand tool used for opening sealed containers (bottles or cans),,"[Synset('opener.n.03'),",,,,,h,,,,
bottle_opener,an opener for removing caps or corks from bottles,,,"[Synset('bottle_opener.n.01'),",,,,b,,,,
cap_opener,a bottle opener to pry off caps,,,,"[Synset('cap_opener.n.01')],",,,l,,,,
corkscrew bottle_screw,a bottle opener that pulls corks,,,,"[Synset('corkscrew.n.01')]],",,,l,,,,
can_opener tin_opener,a device for cutting cans open,,,"[Synset('can_opener.n.01'),",,,,b,,,,
church_key,can opener that has a triangular pointed end that pierces the tops of cans,,,,"[Synset('church_key.n.01')]],",,,l,,,,
latchstring,opener consisting of a string that can be passed through a hole in a door for raising the latch from outside,,,"[Synset('latchstring.n.01')]],",,,,b,,,,
pallet,a hand tool with a flat blade used by potters for mixing and shaping clay,,"[Synset('pallet.n.03')],",,,,,b,,,,Googling this one brought up something else so could be h but glossary entails b to me
pestle,a club-shaped hand tool for grinding and mixing substances in a mortar,,"[Synset('pestle.n.03')],",,,,,b,,,,
pick,a thin sharp implement used for removing unwanted material,,"[Synset('pick.n.06'),",,,,,h,,,,
icepick ice_pick,pick consisting of a steel rod with a sharp point; used for breaking up blocks of ice,,,"[Synset('icepick.n.01')],",,,,b,,,,
toothpick,pick consisting of a small strip of wood or plastic; used to pick food from between the teeth,,,"[Synset('toothpick.n.01')]],",,,,b,,,,
pincer pair_of_pincers tweezer pair_of_tweezers,a hand tool for holding consisting of a compound lever for grasping,,"[Synset('pincer.n.01'),",,,,,b,,,,
roach_clip roach_holder,metal tweezers used by marijuana smokers to hold a roach,,,"[Synset('roach_clip.n.01')]],",,,,l,,,,
pipe_cutter,a hand tool for cutting pipe,,"[Synset('pipe_cutter.n.01')],",,,,,b,,,,
pitchfork,a long-handled hand tool with sharp widely spaced prongs for lifting and pitching hay,,"[Synset('pitchfork.n.01')],",,,,,b,,,,
plane carpenter's_plane woodworking_plane,a carpenter's hand tool with an adjustable blade for smoothing or shaping wood,,"[Synset('plane.n.05'),",,,,,b,,,,
beading_plane,a plane with a concave blade for making moulding with beadwork,,,"[Synset('beading_plane.n.01')],",,,,l,,,,
block_plane,a small plane used on end grains of wood,,,"[Synset('block_plane.n.01')],",,,,l,,,,
bullnose bullnosed_plane,a small carpenter's plane with the cutting edge near the front,,,"[Synset('bullnose.n.01')],",,,,l,,,,
chamfer_plane,a plane that makes a beveled edge,,,"[Synset('chamfer_plane.n.01')],",,,,l,,,,
circular_plane compass_plane,a plane with a flexible face that can plane concave or convex surfaces,,,"[Synset('circular_plane.n.01')],",,,,l,,,,
combination_plane,a woodworking plane that has interchangeable cutters of various shapes,,,"[Synset('combination_plane.n.01')],",,,,l,,,,
dovetail_plane,a woodworking plane designed to make the grooves for dovetail joints,,,"[Synset('dovetail_plane.n.01')],",,,,l,,,,
fore_plane,a carpenter's plane intermediate between a jack plane and a jointer plane,,,"[Synset('fore_plane.n.01')],",,,,l,,,,
jack_plane,a carpenter's plane for rough finishing,,,"[Synset('jack_plane.n.01')],",,,,l,,,,
jointer jointer_plane jointing_plane long_plane,a long carpenter's plane used to shape the edges of boards so they will fit together,,,"[Synset('jointer.n.01')],",,,,l,,,,
match_plane tonguing_and_grooving_plane,a plane having cutters designed to make the tongues and grooves on the edges of matchboards,,,"[Synset('match_plane.n.01')],",,,,l,,,,
openside_plane rabbet_plane,a woodworking plane designed to cut rabbets,,,"[Synset('openside_plane.n.01'),",,,,l,,,,
dado_plane,a plane for making a dado groove,,,,"[Synset('dado_plane.n.01')]],",,,l,,,,
router_plane,a woodworking plane with a narrow cutting head that will make grooves with smooth bottoms,,,"[Synset('router_plane.n.01')],",,,,l,,,,
scrub_plane,a narrow woodworking plane used to cut away excess stock,,,"[Synset('scrub_plane.n.01')],",,,,l,,,,
smooth_plane smoothing_plane,a small plane for finish work,,,"[Synset('smooth_plane.n.01')],",,,,l,,,,
spokeshave,a small plane that has a handle on each side of its blade; used for shaping or smoothing cylindrical wooden surfaces (originally wheel spokes),,,"[Synset('spokeshave.n.01')]],",,,,l,,,,
pliers pair_of_pliers plyers,a gripping hand tool with two hinged arms and (usually) serrated jaws,,"[Synset('pliers.n.01'),",,,,,b,,,,
locking_pliers,pliers that can be locked in place,,,"[Synset('locking_pliers.n.01')],",,,,l,,,,
needlenose_pliers,small pliers with long thin jaws for fine work,,,"[Synset('needlenose_pliers.n.01')],",,,,l,,,,
pump-type_pliers,a type of pliers,,,"[Synset('pump-type_pliers.n.01')],",,,,l,,,,
rib_joint_pliers,a type of pliers,,,"[Synset('rib_joint_pliers.n.01')],",,,,l,,,,
slip-joint_pliers,pliers with a joint adjustable to two positions in order to increase the opening of the jaws,,,"[Synset('slip-joint_pliers.n.01')]],",,,,l,,,,
plumber's_snake auger,a long flexible steel coil for dislodging stoppages in curved pipes,,"[Synset('plumber's_snake.n.01')],",,,,,b,,,,
plunger plumber's_helper,hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains,,"[Synset('plunger.n.03')],",,,,,b,,,,
ravehook,a hooked hand tool used to prepare the seams of a boat for oakum,,"[Synset('ravehook.n.01')],",,,,,b,,,,Googled and all alike
sandblaster,a tool that throws out a blast of steam laden with sand; used to clean or grind hard surfaces,,"[Synset('sandblaster.n.01')],",,,,,b,,,,
saw,hand tool having a toothed blade for cutting,,"[Synset('saw.n.02'),",,,,,b,h,,,Saw seemed to be basic level at first but then googling some below made me change this to h
bill billhook,a long-handled saw with a curved blade,,,"[Synset('bill.n.08')],",,,,l,b,,,
bucksaw,a saw that is set in a frame in the shape of an H; used with both hands to cut wood that is held in a sawbuck,,,"[Synset('bucksaw.n.01')],",,,,l,b,,,
crown_saw,a saw having teeth around the edge of a hollow cylinder,,,"[Synset('crown_saw.n.01')],",,,,l,b,,,This one looks different than the rest saws
folding_saw,a saw with a toothed blade that folds into a handle (the way a pocketknife folds),,,"[Synset('folding_saw.n.01')],",,,,l,,,,Not so confident about 88-91
hacksaw hack_saw metal_saw,saw used with one hand for cutting metal,,,"[Synset('hacksaw.n.01')],",,,,l,b,,,
handsaw hand_saw carpenter's_saw,a saw used with one hand for cutting wood,,,"[Synset('handsaw.n.01'),",,,,l,b,,,
backsaw back_saw,a handsaw that is stiffened by metal reinforcement along the upper edge,,,,"[Synset('backsaw.n.01')],",,,l,,,,
compass_saw,a handsaw with a narrow triangular blade for cutting curves,,,,"[Synset('compass_saw.n.01')],",,,l,,,,
coping_saw,a handsaw with a taut thin blade; used for cutting small curves in wood,,,,"[Synset('coping_saw.n.01')],",,,l,,,,
crosscut_saw crosscut_handsaw cutoff_saw,handsaw that cuts at right angles to the grain (or major axis),,,,"[Synset('crosscut_saw.n.01')],",,,l,,,,
keyhole_saw,a handsaw with a long narrow blade for cutting short radius curves; similar to a compass saw,,,,"[Synset('keyhole_saw.n.01')],",,,l,,,,
pruning_saw,a handsaw used for pruning trees,,,,"[Synset('pruning_saw.n.01'),",,,l,,,,
pruner pruning_hook lopper,a long-handled pruning saw with a curved blade at the end and sometimes a clipper; used to prune small trees,,,,,"[Synset('pruner.n.02')]],",,l,b,,,
ripsaw splitsaw,a handsaw for cutting with the grain of the wood,,,,"[Synset('ripsaw.n.01')]],",,,l,,,,
two-handed_saw whipsaw two-man_saw lumberman's_saw,a saw with handles at both ends; intended for use by two people,,,"[Synset('two-handed_saw.n.01'),",,,,l,,,,
pitsaw,a large two-handed saw formerly used to cut logs into planks; one man stood above the log and the other in a pit below,,,,"[Synset('pitsaw.n.01')]]],",,,l,,,,
scraper,any of various hand tools for scraping,,"[Synset('scraper.n.01')],",,,,,b,,,,
screwdriver,a hand tool for driving screws; has a tip that fits into the head of a screw,,"[Synset('screwdriver.n.01'),",,,,,b,,,,
flat_tip_screwdriver,a screwdriver with a flat wedge-shaped tip that fits into a slot in the head of a screw,,,"[Synset('flat_tip_screwdriver.n.01')],",,,,l,,,,
Phillips_screwdriver,a screwdriver for use with Phillips screws,,,"[Synset('phillips_screwdriver.n.01')],",,,,l,,,,
spiral_ratchet_screwdriver ratchet_screwdriver,a screwdriver with a ratchet (so the blade turns in only one direction) and a spiral in the handle (so the blade rotates) with downward pressure on the handle,,,"[Synset('spiral_ratchet_screwdriver.n.01')]],",,,,l,,,,
shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle,,"[Synset('shovel.n.01'),",,,,,b,,,,
hand_shovel,a shovel that is operated by hand,,,"[Synset('hand_shovel.n.01'),",,,,l,,,,
coal_shovel,a hand shovel for shoveling coal,,,,"[Synset('coal_shovel.n.01')],",,,l,,,,
entrenching_tool trenching_spade,a hand shovel carried by infantrymen for digging trenches,,,,"[Synset('entrenching_tool.n.01')],",,,l,,,,
spade,a sturdy hand shovel that can be pushed into the earth with the foot,,,,"[Synset('spade.n.02'),",,,b,,,,
ditch_spade long-handled_spade,a spade with a long handle for digging narrow ditches,,,,,"[Synset('ditch_spade.n.01')],",,l,,,,
garden_spade,a spade used by gardeners,,,,,"[Synset('garden_spade.n.01')]],",,l,,,,
spud stump_spud,a sharp hand shovel for digging out roots and weeds,,,,"[Synset('spud.n.02')]],",,,l,,,,
posthole_digger post-hole_digger,a shovel used to sink postholes,,,"[Synset('posthole_digger.n.01')],",,,,l,,,,
scoop scoop_shovel,the shovel or bucket of a dredge or backhoe,,,"[Synset('scoop.n.05')]],",,,,l,,,,
soldering_iron,a hand tool with a heatable tip; used to melt and apply solder,,"[Synset('soldering_iron.n.01')],",,,,,b,,,,
spatula,a hand tool with a thin flexible blade used to mix or spread soft substances,,"[Synset('spatula.n.02'),",,,,,b,,,,
palette_knife,a spatula used by artists for mixing or applying or scraping off oil paints,,,"[Synset('palette_knife.n.01')],",,,,l,,,,
putty_knife,a spatula used to mix or apply putty,,,"[Synset('putty_knife.n.01')],",,,,l,,,,
slice,a spatula for spreading paint or ink,,,"[Synset('slice.n.06')]],",,,,l,,,,
spreader,a hand tool for spreading something,,"[Synset('spreader.n.01')],",,,,,b,,,,
square,a hand tool consisting of two straight arms at right angles; used to construct or test right angles,,"[Synset('square.n.08'),",,,,,b,,,,
carpenter's_square,a steel square used by carpenters; larger than a try square,,,"[Synset('carpenter's_square.n.01')],",,,,l,,,,
T-square,a square used by draftsmen to draw parallel lines,,,"[Synset('t-square.n.01')],",,,,l,,,,
try_square,a square having a metal ruler set at right angles to another straight piece,,,"[Synset('try_square.n.01'),",,,,l,,,,
set_square,a try square with an adjustable sliding head,,,,"[Synset('set_square.n.01')]]],",,,l,,,,
straightedge,hand tool consisting of a flat rigid rectangular bar (metal or wood) that can be used to draw straight lines (or test their straightness),,"[Synset('straightedge.n.01')],",,,,,b,,,,
tire_iron tire_tool,hand tool consisting of a lever that is used to force the casing of a pneumatic tire onto a steel wheel,,"[Synset('tire_iron.n.01')],",,,,,b,,,,
trowel,a small hand tool with a handle and flat metal blade; used for scooping or spreading plaster or similar materials,,"[Synset('trowel.n.01'),",,,,,b,,,,
brick_trowel mason's_trowel,a trowel used in masonry,,,"[Synset('brick_trowel.n.01')],",,,,l,,,,
garden_trowel,a trowel used by gardeners,,,"[Synset('garden_trowel.n.01')],",,,,l,,,,
plastering_trowel,a trowel used to spread and smooth plaster,,,"[Synset('plastering_trowel.n.01')],",,,,l,,,,
pointing_trowel,a trowel used to fill and finish masonry joints with mortar or cement,,,"[Synset('pointing_trowel.n.01')],",,,,l,,,,
slick,a trowel used to make a surface slick,,,"[Synset('slick.n.04')]],",,,,l,,,,
weeder weed-whacker,a hand tool for removing weeds,,"[Synset('weeder.n.02')],",,,,,b,,,,
wire_stripper,a hand tool used by electricians to remove insulation from the cut end of an insulated wire,,"[Synset('wire_stripper.n.01')],",,,,,b,,,,
wrench spanner,a hand tool that is used to hold or twist a nut or bolt,,"[Synset('wrench.n.03'),",,,,,b,,,,
adjustable_wrench adjustable_spanner,can be changed to different settings,,,"[Synset('adjustable_wrench.n.01'),",,,,l,,,,
crescent_wrench,an adjustable wrench designed to fit hexagonal nuts with the adjusting screw built into the head of the wrench,,,,"[Synset('crescent_wrench.n.01')],",,,l,,,,
monkey-wrench monkey_wrench,adjustable wrench that has one fixed and one adjustable jaw,,,,"[Synset('monkey-wrench.n.01')],",,,l,,,,
pipe_wrench tube_wrench,adjustable wrench for gripping and turning a pipe; has two serrated jaws that are adjusted to grip the pipe,,,,"[Synset('pipe_wrench.n.01'),",,,l,,,,
chain_tongs,a pipe wrench used for turning large pipes; an adjustable chain circles the pipe with its ends connected to the head whose teeth engage the pipe,,,,,"[Synset('chain_tongs.n.01'),",,l,,,,
chain_wrench,another name for chain tongs,,,,,,"[Synset('chain_wrench.n.01')]],",l,,,,
Stillson_wrench,a large pipe wrench with L-shaped adjustable jaws that tighten as pressure on the handle is increased,,,,,"[Synset('stillson_wrench.n.01')]],",,l,,,,
screw_wrench,adjustable wrench that has one jaw that can be adjusted by turning a screw,,,,"[Synset('screw_wrench.n.01')]],",,,l,,,,
Allen_wrench,a wrench for Allen screws,,,"[Synset('allen_wrench.n.01')],",,,,l,,,,
alligator_wrench,a wrench with a v-shaped jaw and serrations on one side (resembles the open jaws of an alligator),,,"[Synset('alligator_wrench.n.01')],",,,,l,,,,
box_wrench box_end_wrench,a wrench with a closed loop (a socket) that fits over a nut or bolt head,,,"[Synset('box_wrench.n.01')],",,,,l,,,,
brace_wrench,a wrench shaped like a brace (has a handle shaped like a crank) and a socket head,,,"[Synset('brace_wrench.n.01')],",,,,l,,,,
bulldog_wrench,a wrench designed to provide a firm grip on something,,,"[Synset('bulldog_wrench.n.01')],",,,,l,,,,
carriage_wrench,a wrench designed for use with carriage bolts,,,"[Synset('carriage_wrench.n.01')],",,,,l,,,,
dog_wrench,a wrench with a handle shaped like a crank,,,"[Synset('dog_wrench.n.01')],",,,,l,,,,
hook_wrench hook_spanner,a wrench with a hook that fits over a nut or bolt head,,,"[Synset('hook_wrench.n.01')],",,,,l,,,,
lug_wrench,a wrench with jaws that have projecting lugs to engage the object that is to be rotated,,,"[Synset('lug_wrench.n.01')],",,,,l,,,,
open-end_wrench tappet_wrench,a wrench having parallel jaws at fixed separation (often on both ends of the handle),,,"[Synset('open-end_wrench.n.01'),",,,,l,,,,
S_wrench,a wrench with an S-shaped handle,,,,"[Synset('s_wrench.n.01')]],",,,l,,,,
pin_wrench,a wrench that has a projecting pin that fits into a socket on the object to be turned,,,"[Synset('pin_wrench.n.01')],",,,,l,,,,
screw_key,a wrench for turning a screw,,,"[Synset('screw_key.n.01')],",,,,l,,,,
socket_wrench,a wrench with a handle onto which sockets of different sizes can be fitted,,,"[Synset('socket_wrench.n.01')],",,,,l,,,,
sparkplug_wrench,a wrench for removing or tightening spark plugs into the cylinder head of an internal combustion engine,,,"[Synset('sparkplug_wrench.n.01')],",,,,l,,,,
tap_wrench,a wrench for turning a tap to create an internal screw thread,,,"[Synset('tap_wrench.n.01')],",,,,l,,,,
torque_wrench,a wrench that has a gauge that indicates the amount of torque being applied,,,[Synset('torque_wrench.n.01')]]],,,,l,,,,
